chat_history,question,answer
[],What is the quarterly revenue of Microsoft Cloud in FY23Q1?,"$25 billion in quarterly revenue, up 24 percent and 31 percent in constant currency."
[],How many Azure Arc customers does Microsoft currently have in FY23Q1?,"More than 8,500 Arc customers, more than double the number a year ago."
[],Which companies run SAP on Azure in FY23Q1?,"Companies like Chobani, Munich RE, Sodexo, Volvo Cars all run SAP on Azure."
[],What is the annual recurring revenue of GitHub in FY23Q1?,GitHub is now at $1 billion in annual recurring revenue.
[],How many monthly active users does Power BI have in FY23Q1?,"Power BI is the market leader in business intelligence in the cloud and has nearly 15 million monthly active users, up more than 50 percent compared to a year ago."
[],What is the quarterly revenue of Microsoft Cloud in FY23Q2?,"$27 billion in quarterly revenue, up 22 percent and 29 percent in constant currency."
[],How many Azure Arc customers does Microsoft currently have in FY23Q2?,"More than 12,000 Arc customers, double the number a year ago."
[],What are some examples of companies using Azure OpenAI Service in FY23Q2?,"Over 200 customers, including KPMG and Al Jazeera, are already using Azure OpenAI Service."
[],How many developers are using GitHub Copilot as of FY23Q2?,More than one million people have used GitHub Copilot to date.
[],What is the growth rate of Azure Machine Learning revenue in FY23Q1?,Azure ML revenue alone has increased more than 100 percent for five quarters in a row.
